pickup_datetime,trip_miles,trip_time,base_passenger_fare,distance_bin,log_fare,log_miles,log_time,log_miles_long,log_time_long,long_dummy,log_miles_interact,log_time_interact
22/01/2025 06:56,0.99,5.866666667,8.11,0-2 mi,2.093097868,-0.010050336,1.769286613,0,0,0,0,0
21/01/2025 11:49,4.08,13.03333333,17.88,2-5 mi,2.88368277,1.406096988,2.567510178,0,0,0,0,0
10/01/2025 02:14,3.2,13.53333333,18.15,2-5 mi,2.898670561,1.16315081,2.605155778,0,0,0,0,0
24/01/2025 23:12,2.14,11.15,12.1,2-5 mi,2.493205453,0.760805829,2.411439498,0,0,0,0,0
01/01/2025 06:43,1.1,6.1,11.58,0-2 mi,2.449279472,0.09531018,1.808288771,0,0,0,0,0
13/01/2025 23:10,2.617,14.16666667,11.64,2-5 mi,2.454447442,0.962028624,2.650891787,0,0,0,0,0
09/01/2025 21:33,2.53,14.33333333,15.16,2-5 mi,2.71866038,0.928219303,2.662587827,0,0,0,0,0
09/01/2025 18:14,0.631,6.183333333,9.53,0-2 mi,2.254444718,-0.460449416,1.8218575,0,0,0,0,0
16/01/2025 15:56,0.967,7.35,8.17,0-2 mi,2.100468909,-0.033556784,1.994700313,0,0,0,0,0
17/01/2025 10:46,1.12,7.583333333,22.71,0-2 mi,3.122805356,0.113328685,2.025952857,0,0,0,0,0
11/01/2025 02:20,1.56,6.633333333,18.29,0-2 mi,2.906354462,0.444685821,1.892107443,0,0,0,0,0
07/01/2025 14:15,2.51,12.18333333,16.96,2-5 mi,2.83085763,0.920282753,2.500068898,0,0,0,0,0
30/01/2025 10:30,2.84,15.96666667,18.87,2-5 mi,2.937573359,1.043804052,2.770503216,0,0,0,0,0
08/01/2025 22:23,1.367,7.083333333,11.24,0-2 mi,2.419478845,0.312618558,1.957744607,0,0,0,0,0
29/01/2025 20:04,1.75,13.56666667,43.61,0-2 mi,3.775286482,0.559615788,2.607615804,0,0,0,0,0
13/01/2025 07:18,0.67,5.566666667,8.89,0-2 mi,2.18492705,-0.400477567,1.716796431,0,0,0,0,0
19/01/2025 06:36,4.03,17.3,20.16,2-5 mi,3.003700443,1.393766376,2.850706502,0,0,0,0,0
21/01/2025 08:23,1.75,7.05,9.83,0-2 mi,2.285438934,0.559615788,1.953027617,0,0,0,0,0
14/01/2025 19:19,1.41,7.1,13.62,0-2 mi,2.611539301,0.343589704,1.960094784,0,0,0,0,0
04/01/2025 20:11,1.21,8.9,10.66,0-2 mi,2.366498419,0.19062036,2.186051277,0,0,0,0,0
04/01/2025 01:26,2.14,12.53333333,15.1,2-5 mi,2.714694744,0.760805829,2.528391762,0,0,0,0,0
19/01/2025 15:14,1.74,6.666666667,8.9,0-2 mi,2.186051277,0.553885113,1.897119985,0,0,0,0,0
12/01/2025 02:22,2.19,25.78333333,24.15,2-5 mi,3.18428438,0.783901544,3.249728288,0,0,0,0,0
14/01/2025 16:22,2.956,17.23333333,22.65,2-5 mi,3.120159852,1.083837003,2.846845493,0,0,0,0,0
01/01/2025 16:46,4.89,26.93333333,27.69,2-5 mi,3.321071337,1.587192304,3.293364677,0,0,0,0,0
23/01/2025 22:54,4.916,23.26666667,31.27,2-5 mi,3.442659172,1.592495192,3.147021721,0,0,0,0,0
10/01/2025 19:23,1.51,7.183333333,11.61,0-2 mi,2.451866796,0.412109651,1.971763528,0,0,0,0,0
16/01/2025 08:43,0.63,3.183333333,8.94,0-2 mi,2.190535589,-0.46203546,1.157928866,0,0,0,0,0
14/01/2025 22:50,4.02,11.03333333,10.16,2-5 mi,2.318458442,1.391281903,2.400920994,0,0,0,0,0
23/01/2025 18:44,0.29,2.516666667,4.98,0-2 mi,1.605429891,-1.237874356,0.922935275,0,0,0,0,0
05/01/2025 23:14,4.56,11.55,17.18,2-5 mi,2.843745917,1.517322624,2.446685437,0,0,0,0,0
10/01/2025 16:31,1.66,10.66666667,15.11,0-2 mi,2.715356776,0.506817602,2.367123614,0,0,0,0,0
25/01/2025 23:53,2.29,14.05,30.62,2-5 mi,3.42165339,0.828551818,2.642622396,0,0,0,0,0
05/01/2025 03:14,2.805,15.1,14.33,2-5 mi,2.662355242,1.031403539,2.714694744,0,0,0,0,0
17/01/2025 18:18,1.897,12.11666667,12.54,0-2 mi,2.528923535,0.640273691,2.494581915,0,0,0,0,0
25/01/2025 05:21,2.12,7.666666667,11.46,2-5 mi,2.438862711,0.751416089,2.036881927,0,0,0,0,0
07/01/2025 22:10,4.15,11.58333333,21.67,2-5 mi,3.075928816,1.423108334,2.449567283,0,0,0,0,0
12/01/2025 18:49,1.86,11.78333333,11.52,0-2 mi,2.444084655,0.620576488,2.466686104,0,0,0,0,0
11/01/2025 00:25,3.29,18.1,26.14,2-5 mi,3.263466708,1.190887565,2.895911938,0,0,0,0,0
11/01/2025 23:30,0.46,4.233333333,11.97,0-2 mi,2.48240352,-0.77652879,1.442989705,0,0,0,0,0
05/01/2025 23:16,1.45,5.683333333,10.66,0-2 mi,2.366498419,0.371563556,1.737537915,0,0,0,0,0
10/01/2025 08:49,1.48,18.08333333,18.77,0-2 mi,2.932259851,0.392042088,2.894990704,0,0,0,0,0
07/01/2025 18:45,1.61,12.26666667,11.95,0-2 mi,2.480731278,0.476234179,2.506885557,0,0,0,0,0
19/01/2025 17:12,1.23,7.3,8.03,0-2 mi,2.083184528,0.207014169,1.987874348,0,0,0,0,0
27/01/2025 20:53,1.45,8.133333333,10.56,0-2 mi,2.357073278,0.371563556,2.095970844,0,0,0,0,0
08/01/2025 14:06,2.11,14.01666667,16.67,2-5 mi,2.813610697,0.746687948,2.640247098,0,0,0,0,0
06/01/2025 06:29,4.62,13.31666667,17.89,2-5 mi,2.884241898,1.530394705,2.589016384,0,0,0,0,0
07/01/2025 18:30,3.07,21.56666667,13.68,2-5 mi,2.615934912,1.121677562,3.071148913,0,0,0,0,0
25/01/2025 10:03,2.82,12.63333333,14.49,2-5 mi,2.673458756,1.036736885,2.536338823,0,0,0,0,0
02/01/2025 07:04,2.6,7.85,21.44,2-5 mi,3.065258336,0.955511445,2.060513532,0,0,0,0,0
31/01/2025 07:36,1.59,15.73333333,12.88,0-2 mi,2.555675721,0.463734016,2.755781604,0,0,0,0,0
03/01/2025 19:46,2.92,13.11666667,18.98,2-5 mi,2.943385793,1.071583616,2.573883686,0,0,0,0,0
12/01/2025 16:32,1.251,8.833333333,14.22,0-2 mi,2.654649424,0.223943232,2.178532444,0,0,0,0,0
18/01/2025 11:13,3.91,16.48333333,37.79,2-5 mi,3.632044517,1.363537374,2.802349769,0,0,0,0,0
03/01/2025 15:24,0.93,7.933333333,8.91,0-2 mi,2.187174242,-0.072570693,2.071073292,0,0,0,0,0
04/01/2025 09:27,2.072,13.23333333,14.08,2-5 mi,2.644755351,0.728514324,2.582738899,0,0,0,0,0
30/01/2025 23:17,4.38,9.016666667,16.02,2-5 mi,2.773837942,1.477048724,2.199074717,0,0,0,0,0
23/01/2025 18:17,2.09,11.33333333,14.07,2-5 mi,2.644044871,0.737164066,2.427748236,0,0,0,0,0
14/01/2025 12:10,3.13,25.68333333,16.13,2-5 mi,2.780680892,1.141033005,3.245842273,0,0,0,0,0
24/01/2025 21:56,1.31,8.116666667,7,0-2 mi,1.945910149,0.270027137,2.093919561,0,0,0,0,0
06/01/2025 22:09,1.03,7.333333333,8.93,0-2 mi,2.189416395,0.029558802,1.992430165,0,0,0,0,0
09/01/2025 17:22,1.26,16.25,22.55,0-2 mi,3.115735066,0.231111721,2.788092909,0,0,0,0,0
26/01/2025 19:12,2.64,13.36666667,14.04,2-5 mi,2.641910399,0.970778917,2.592764046,0,0,0,0,0
10/01/2025 22:57,1.4,5.866666667,8.17,0-2 mi,2.100468909,0.336472237,1.769286613,0,0,0,0,0
13/01/2025 17:13,1.89,9.5,10.42,0-2 mi,2.343727036,0.636576829,2.251291799,0,0,0,0,0
11/01/2025 20:53,3.64,16.66666667,17,2-5 mi,2.833213344,1.291983682,2.813410717,0,0,0,0,0
05/01/2025 17:04,1.35,20.61666667,19.94,0-2 mi,2.992727765,0.300104593,3.02609981,0,0,0,0,0
27/01/2025 22:24,1.873,9.2,9.96,0-2 mi,2.298577072,0.627541424,2.219203484,0,0,0,0,0
13/01/2025 14:16,3.25,21.31666667,33.33,2-5 mi,3.506457892,1.178654996,3.059489239,0,0,0,0,0
26/01/2025 09:37,4.74,19.51666667,20.1,2-5 mi,3.000719815,1.556037136,2.971268801,0,0,0,0,0
13/01/2025 23:46,0.8,5.666666667,7.43,0-2 mi,2.005525859,-0.223143551,1.734601055,0,0,0,0,0
04/01/2025 23:40,1.07,4.866666667,8.6,0-2 mi,2.151762203,0.067658649,1.58240924,0,0,0,0,0
13/01/2025 17:22,1.27,7.85,10.94,0-2 mi,2.392425797,0.239016901,2.060513532,0,0,0,0,0
21/01/2025 12:29,1.77,6.983333333,10.76,0-2 mi,2.375835555,0.570979547,1.943526358,0,0,0,0,0
29/01/2025 15:36,0.47,4.683333333,10.03,0-2 mi,2.305580602,-0.755022584,1.544010107,0,0,0,0,0
02/01/2025 17:12,2.73,25.33333333,15.62,2-5 mi,2.748552144,1.004301609,3.232121052,0,0,0,0,0
17/01/2025 08:47,4.95,11.48333333,28.11,2-5 mi,3.336125385,1.599387577,2.440896709,0,0,0,0,0
30/01/2025 09:24,0.61,3.733333333,8.49,0-2 mi,2.138889,-0.494296322,1.31730149,0,0,0,0,0
08/01/2025 19:15,2.45,14.28333333,15.33,2-5 mi,2.729811693,0.896088025,2.659093356,0,0,0,0,0
24/01/2025 10:05,1.98,15.13333333,16.9,0-2 mi,2.827313622,0.683096845,2.716899816,0,0,0,0,0
30/01/2025 09:05,3.22,23.06666667,34.87,2-5 mi,3.551626861,1.16938136,3.138388574,0,0,0,0,0
28/01/2025 19:43,4.09,16.26666667,12.3,2-5 mi,2.509599262,1.40854497,2.789118024,0,0,0,0,0
10/01/2025 13:25,3.219,24.08333333,22.05,2-5 mi,3.093312602,1.169070752,3.181520038,0,0,0,0,0
14/01/2025 07:39,0.66,5.716666667,8.9,0-2 mi,2.186051277,-0.415515444,1.743385885,0,0,0,0,0
21/01/2025 13:20,2.468,24,22.19,2-5 mi,3.099641737,0.903408106,3.17805383,0,0,0,0,0
24/01/2025 17:21,1.43,11,15.11,0-2 mi,2.715356776,0.357674444,2.397895273,0,0,0,0,0
17/01/2025 17:29,3.17,14.9,18.21,2-5 mi,2.901970894,1.153731588,2.701361213,0,0,0,0,0
31/01/2025 06:50,1.72,9,13.79,0-2 mi,2.623943692,0.542324291,2.197224577,0,0,0,0,0
07/01/2025 18:57,0.92,5.683333333,10.08,0-2 mi,2.310553263,-0.083381609,1.737537915,0,0,0,0,0
21/01/2025 18:58,0.61,5.85,9.37,0-2 mi,2.237513096,-0.494296322,1.766441661,0,0,0,0,0
10/01/2025 19:11,0.854,8.233333333,13.1,0-2 mi,2.57261223,-0.157824085,2.108190955,0,0,0,0,0
31/01/2025 18:14,1.01,4.616666667,7.34,0-2 mi,1.993338843,0.009950331,1.529672944,0,0,0,0,0
29/01/2025 17:21,1.17,6.066666667,8.75,0-2 mi,2.1690537,0.157003749,1.802809305,0,0,0,0,0
23/01/2025 14:22,4.1,27.95,20.61,2-5 mi,3.025776395,1.410986974,3.3304172,0,0,0,0,0
23/01/2025 09:42,1.14,6.116666667,11.77,0-2 mi,2.465553921,0.131028262,1.811017286,0,0,0,0,0
10/01/2025 15:40,0.44,2.883333333,8.57,0-2 mi,2.148267733,-0.820980552,1.058947032,0,0,0,0,0
24/01/2025 21:28,1.2,11.61666667,14.17,0-2 mi,2.651127054,0.182321557,2.452440849,0,0,0,0,0
27/01/2025 19:37,4.49,25.15,22.03,2-5 mi,3.092405161,1.501852702,3.224857897,0,0,0,0,0
18/01/2025 09:37,1.939,8.85,11.78,0-2 mi,2.466403178,0.662172376,2.180417459,0,0,0,0,0
15/01/2025 08:56,1.7,5.4,7.28,0-2 mi,1.985130862,0.530628251,1.686398954,0,0,0,0,0
28/01/2025 06:40,1,5.45,13.4,0-2 mi,2.595254707,0,1.695615609,0,0,0,0,0
11/01/2025 12:27,4.86,16.18333333,16.62,2-5 mi,2.810606789,1.581038438,2.783981906,0,0,0,0,0
08/01/2025 16:31,1.26,17.36666667,14.65,0-2 mi,2.684440336,0.231111721,2.85455266,0,0,0,0,0
22/01/2025 19:08,1.1,6.616666667,8.94,0-2 mi,2.190535589,0.09531018,1.889591719,0,0,0,0,0
